Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,0 to 15,113,11,84,1,13,2,2,0,18,2
,16 to 19,48,0,20,0,20,8,0,0,3,0
,20 to 24,65,0,38,5,13,3,1,5,22,1
,25 to 34,123,0,81,5,21,10,2,4,24,3
,35 to 49,209,0,185,2,16,2,1,3,22,1
,50 to 64,196,0,185,0,6,1,3,1,9,3
,65 to 74,110,0,107,0,3,0,0,0,4,1
,75 and over,110,0,108,0,2,0,0,0,4,0
S01005370,All people,850,3,774,2,57,2,7,5,39,4
,0 to 15,104,3,96,0,5,0,0,0,0,0
,16 to 19,41,0,31,0,10,0,0,0,2,1
,20 to 24,27,0,12,0,11,1,1,2,6,1
,25 to 34,71,0,64,0,4,1,2,0,6,1
,35 to 49,172,0,161,0,7,0,1,3,1,0
,50 to 64,190,0,183,0,5,0,2,0,7,1
,65 to 74,128,0,120,0,7,0,1,0,1,0
,75 and over,117,0,107,2,8,0,0,0,16,0
S01005371,All people,947,8,877,5,37,9,11,0,49,3
,0 to 15,129,8,117,0,2,0,2,0,9,0
,16 to 19,28,0,26,0,1,0,1,0,5,1
,20 to 24,39,0,30,2,2,5,0,0,2,1
,25 to 34,75,0,60,0,14,1,0,0,11,1
,35 to 49,214,0,201,0,10,0,3,0,13,0
,50 to 64,242,0,228,2,6,2,4,0,3,0
,65 to 74,123,0,119,1,2,0,1,0,1,0
,75 and over,97,0,96,0,0,1,0,0,5,0
S01005372,All people,864,5,745,6,85,14,7,2,87,17
,0 to 15,81,5,61,0,11,3,1,0,19,6
,16 to 19,39,0,24,2,13,0,0,0,5,0
,20 to 24,44,0,29,0,10,5,0,0,6,0
,25 to 34,110,0,85,0,21,2,1,1,25,9
,35 to 49,164,0,143,2,15,1,3,0,15,0
,50 to 64,187,0,180,1,3,2,0,1,10,2
,65 to 74,127,0,120,1,3,1,2,0,2,0
,75 and over,112,0,103,0,9,0,0,0,5,0
S01005373,All people,724,4,685,1,30,3,0,1,59,5
,0 to 15,79,4,73,0,2,0,0,0,23,0
,16 to 19,36,0,31,0,5,0,0,0,0,4
,20 to 24,44,0,37,0,6,1,0,0,10,0
,25 to 34,62,0,58,1,3,0,0,0,14,1
,35 to 49,143,0,138,0,3,1,0,1,7,0
,50 to 64,148,0,144,0,3,1,0,0,3,0
,65 to 74,110,0,110,0,0,0,0,0,0,0
,75 and over,102,0,94,0,8,0,0,0,2,0
S01005374,All people,870,11,747,2,83,13,13,1,85,6
,0 to 15,91,11,64,0,16,0,0,0,16,0
,16 to 19,26,0,20,0,4,1,1,0,8,3
,20 to 24,65,0,49,0,6,7,3,0,15,0
,25 to 34,110,0,80,1,23,3,3,0,12,2
,35 to 49,184,0,161,0,18,2,2,1,13,0
,50 to 64,191,0,177,1,9,0,4,0,10,1
,65 to 74,94,0,92,0,2,0,0,0,8,0
,75 and over,109,0,104,0,5,0,0,0,3,0
S01005375,All people,937,8,843,5,61,9,11,0,45,9
,0 to 15,138,8,115,0,11,0,4,0,7,0
,16 to 19,37,0,36,0,1,0,0,0,2,2
,20 to 24,52,0,38,1,10,1,2,0,4,0
,25 to 34,77,0,57,0,16,2,2,0,10,0
,35 to 49,194,0,181,2,7,1,3,0,9,0
,50 to 64,207,0,191,0,13,3,0,0,7,4
,65 to 74,118,0,116,2,0,0,0,0,1,3
,75 and over,114,0,109,0,3,2,0,0,5,0
S01005376,All people,992,11,892,2,72,11,4,0,41,11
,0 to 15,144,11,128,0,3,1,1,0,7,1
,16 to 19,43,0,33,0,7,1,2,0,1,1
,20 to 24,60,0,45,0,11,4,0,0,3,1
,25 to 34,90,0,63,1,24,1,1,0,16,6
,35 to 49,213,0,195,0,16,2,0,0,5,2
,50 to 64,229,0,220,1,7,1,0,0,4,0
,65 to 74,111,0,110,0,1,0,0,0,4,0
,75 and over,102,0,98,0,3,1,0,0,1,0
S01005377,All people,863,14,780,17,41,5,6,0,38,7
,0 to 15,164,14,130,7,9,1,3,0,10,0
,16 to 19,43,0,39,1,3,0,0,0,2,1
,20 to 24,51,0,35,2,11,3,0,0,6,4
,25 to 34,100,0,85,6,7,1,1,0,5,1
,35 to 49,180,0,167,1,11,0,1,0,10,1
,50 to 64,157,0,156,0,0,0,1,0,3,0
,65 to 74,82,0,82,0,0,0,0,0,0,0
,75 and over,86,0,86,0,0,0,0,0,2,0
S01005378,All people,808,12,737,1,45,3,2,8,68,2
,0 to 15,218,12,184,0,17,0,0,5,13,0
,16 to 19,60,0,55,0,3,2,0,0,17,1
,20 to 24,48,0,45,0,1,1,1,0,11,0
,25 to 34,100,0,88,1,10,0,0,1,10,1
,35 to 49,168,0,158,0,9,0,1,0,13,0
,50 to 64,127,0,121,0,5,0,0,1,3,0
,65 to 74,58,0,57,0,0,0,0,1,0,0
,75 and over,29,0,29,0,0,0,0,0,1,0
S01005379,All people,920,9,871,6,26,3,4,1,31,4
,0 to 15,178,9,162,1,5,0,1,0,7,2
,16 to 19,38,0,35,1,2,0,0,0,4,1
,20 to 24,34,0,31,0,1,0,1,1,3,1
,25 to 34,88,0,78,1,6,2,1,0,3,0
,35 to 49,208,0,194,3,9,1,1,0,7,0
,50 to 64,211,0,209,0,2,0,0,0,3,0
,65 to 74,80,0,79,0,1,0,0,0,2,0
,75 and over,83,0,83,0,0,0,0,0,2,0
S01005380,All people,671,4,614,2,36,8,7,0,24,6
,0 to 15,153,4,129,1,16,3,0,0,4,1
,16 to 19,28,0,26,0,2,0,0,0,3,2
,20 to 24,27,0,23,0,3,1,0,0,6,1
,25 to 34,60,0,52,0,5,3,0,0,3,1
,35 to 49,141,0,126,1,8,1,5,0,6,0
,50 to 64,153,0,150,0,2,0,1,0,2,1
,65 to 74,78,0,77,0,0,0,1,0,0,0
,75 and over,31,0,31,0,0,0,0,0,0,0
S01005381,All people,641,9,596,0,27,1,6,2,48,3
,0 to 15,154,9,135,0,10,0,0,0,16,2
,16 to 19,40,0,39,0,1,0,0,0,4,0
,20 to 24,33,0,27,0,4,1,0,1,8,0
,25 to 34,67,0,64,0,2,0,1,0,6,1
,35 to 49,132,0,124,0,6,0,2,0,10,0
,50 to 64,127,0,121,0,4,0,1,1,2,0
,65 to 74,48,0,46,0,0,0,2,0,1,0
,75 and over,40,0,40,0,0,0,0,0,1,0
S01005382,All people,834,21,736,3,63,3,7,1,43,14
,0 to 15,255,21,217,0,16,0,1,0,12,9
,16 to 19,60,0,51,0,8,1,0,0,6,2
,20 to 24,53,0,41,0,9,1,2,0,5,0
,25 to 34,120,0,100,1,15,1,3,0,9,1
,35 to 49,181,0,167,0,12,0,1,1,5,2
,50 to 64,97,0,96,0,1,0,0,0,5,0
,65 to 74,45,0,41,2,2,0,0,0,1,0
,75 and over,23,0,23,0,0,0,0,0,0,0
S01005383,All people,570,3,516,0,29,4,18,0,53,23
,0 to 15,76,3,64,0,7,0,2,0,9,2
,16 to 19,23,0,23,0,0,0,0,0,6,11
,20 to 24,27,0,24,0,2,0,1,0,6,5
,25 to 34,40,0,27,0,8,0,5,0,8,3
,35 to 49,112,0,100,0,8,0,4,0,15,2
,50 to 64,172,0,162,0,3,3,4,0,6,0
,65 to 74,82,0,79,0,1,1,1,0,2,0
,75 and over,38,0,37,0,0,0,1,0,1,0
S01005384,All people,920,7,847,11,27,13,14,1,33,23
,0 to 15,113,7,93,2,9,1,1,0,4,3
,16 to 19,36,0,33,1,1,1,0,0,3,7
,20 to 24,37,0,33,0,0,3,1,0,3,4
,25 to 34,49,0,33,1,6,4,4,1,10,8
,35 to 49,179,0,166,4,7,1,1,0,6,0
,50 to 64,315,0,301,2,4,2,6,0,5,1
,65 to 74,123,0,121,1,0,1,0,0,0,0
,75 and over,68,0,67,0,0,0,1,0,2,0
S01005385,All people,962,9,881,6,29,15,21,1,47,8
,0 to 15,153,9,133,1,6,1,3,0,10,0
,16 to 19,42,0,36,0,2,4,0,0,7,5
,20 to 24,29,0,21,0,4,3,1,0,6,2
,25 to 34,65,0,59,1,4,0,1,0,4,1
,35 to 49,254,0,236,2,10,3,3,0,10,0
,50 to 64,249,0,231,2,2,4,9,1,7,0
,65 to 74,100,0,95,0,1,0,4,0,2,0
,75 and over,70,0,70,0,0,0,0,0,1,0
S01005386,All people,653,4,616,7,15,10,1,0,24,7
,0 to 15,98,4,88,3,2,1,0,0,9,1
,16 to 19,24,0,20,0,1,3,0,0,2,0
,20 to 24,14,0,11,1,0,2,0,0,0,1
,25 to 34,39,0,32,1,5,0,1,0,4,4
,35 to 49,141,0,135,2,1,3,0,0,7,1
,50 to 64,159,0,156,0,2,1,0,0,1,0
,65 to 74,101,0,99,0,2,0,0,0,0,0
,75 and over,77,0,75,0,2,0,0,0,1,0
S01005387,All people,899,13,813,6,57,4,3,3,61,14
,0 to 15,153,13,119,2,17,0,0,2,11,2
,16 to 19,49,0,44,0,3,1,0,1,4,6
,20 to 24,45,0,32,2,7,2,2,0,10,1
,25 to 34,92,0,81,0,11,0,0,0,11,5
,35 to 49,179,0,166,2,10,1,0,0,9,0
,50 to 64,187,0,180,0,6,0,1,0,11,0
,65 to 74,127,0,126,0,1,0,0,0,1,0
,75 and over,67,0,65,0,2,0,0,0,4,0
S01005388,All people,775,8,704,0,49,6,8,0,44,17
,0 to 15,150,8,125,0,14,1,2,0,9,4
,16 to 19,39,0,32,0,6,1,0,0,1,3
,20 to 24,38,0,26,0,9,1,2,0,5,1
,25 to 34,66,0,56,0,10,0,0,0,11,3
,35 to 49,144,0,136,0,7,1,0,0,8,0
,50 to 64,154,0,146,0,2,2,4,0,3,4
,65 to 74,112,0,111,0,1,0,0,0,3,0
,75 and over,72,0,72,0,0,0,0,0,4,2
S01005389,All people,750,7,621,18,74,16,6,8,59,7
,0 to 15,80,7,58,3,12,0,0,0,13,2
,16 to 19,47,0,30,0,14,1,0,2,3,1
,20 to 24,55,0,34,0,13,5,2,1,10,0
,25 to 34,89,0,71,5,11,2,0,0,15,3
,35 to 49,142,0,119,2,15,4,1,1,8,0
,50 to 64,153,0,138,3,6,3,2,1,5,1
,65 to 74,75,0,69,1,1,1,1,2,2,0
,75 and over,109,0,102,4,2,0,0,1,3,0
S01005390,All people,850,8,771,4,51,9,1,6,52,12
,0 to 15,176,8,148,1,13,6,0,0,14,1
,16 to 19,47,0,42,0,5,0,0,0,7,5
,20 to 24,41,0,32,1,5,0,1,2,5,2
,25 to 34,93,0,77,0,13,2,0,1,11,0
,35 to 49,203,0,190,2,11,0,0,0,9,2
,50 to 64,146,0,140,0,4,0,0,2,4,0
,65 to 74,80,0,80,0,0,0,0,0,1,0
,75 and over,64,0,62,0,0,1,0,1,1,2
S01005391,All people,756,7,700,3,34,3,7,2,50,19
,0 to 15,126,7,114,0,4,0,1,0,12,1
,16 to 19,33,0,32,0,1,0,0,0,4,7
,20 to 24,24,0,20,0,4,0,0,0,8,2
,25 to 34,68,0,57,0,4,3,3,1,9,4
,35 to 49,168,0,158,1,9,0,0,0,11,2
,50 to 64,156,0,144,1,8,0,2,1,5,3
,65 to 74,98,0,94,0,3,0,1,0,1,0
,75 and over,83,0,81,1,1,0,0,0,0,0
S01005392,All people,831,9,767,5,31,9,10,0,41,12
,0 to 15,137,9,117,0,8,1,2,0,15,1
,16 to 19,32,0,30,0,0,0,2,0,0,3
,20 to 24,21,0,18,0,1,2,0,0,2,0
,25 to 34,66,0,52,0,12,1,1,0,8,1
,35 to 49,172,0,161,3,6,0,2,0,8,6
,50 to 64,198,0,191,1,1,3,2,0,7,0
,65 to 74,124,0,117,1,3,2,1,0,1,1
,75 and over,81,0,81,0,0,0,0,0,0,0
S01005393,All people,929,10,838,9,53,3,11,5,22,12
,0 to 15,143,10,118,4,8,0,3,0,3,1
,16 to 19,33,0,32,0,0,0,0,1,2,2
,20 to 24,41,0,29,0,10,1,0,1,1,4
,25 to 34,59,0,47,0,9,1,2,0,2,2
,35 to 49,185,0,172,4,6,0,3,0,4,2
,50 to 64,229,0,220,0,6,0,3,0,8,0
,65 to 74,114,0,107,0,4,1,0,2,2,0
,75 and over,125,0,113,1,10,0,0,1,0,1
S01005394,All people,863,12,779,15,18,29,6,4,4,34
,0 to 15,169,12,141,5,3,6,2,0,0,1
,16 to 19,39,0,38,0,0,1,0,0,1,10
,20 to 24,27,0,24,1,0,2,0,0,1,4
,25 to 34,53,0,39,3,5,5,0,1,1,3
,35 to 49,232,0,207,5,7,9,2,2,0,5
,50 to 64,200,0,191,1,2,5,0,1,0,8
,65 to 74,90,0,86,0,1,1,2,0,1,1
,75 and over,53,0,53,0,0,0,0,0,0,2
S01005395,All people,978,10,888,4,41,12,15,8,37,22
,0 to 15,170,10,146,1,9,2,2,0,7,5
,16 to 19,43,0,38,1,2,2,0,0,2,6
,20 to 24,42,0,27,0,9,3,0,3,5,2
,25 to 34,42,0,36,0,3,1,1,1,4,3
,35 to 49,216,0,194,2,14,2,4,0,10,2
,50 to 64,277,0,268,0,2,2,2,3,5,2
,65 to 74,123,0,115,0,2,0,5,1,4,2
,75 and over,65,0,64,0,0,0,1,0,0,0
S01005396,All people,744,6,649,12,63,6,7,1,44,23
,0 to 15,141,6,112,0,22,1,0,0,11,2
,16 to 19,29,0,26,2,1,0,0,0,2,11
,20 to 24,32,0,24,0,7,1,0,0,2,2
,25 to 34,40,0,27,0,9,1,2,1,2,4
,35 to 49,154,0,130,5,18,0,1,0,15,1
,50 to 64,199,0,185,5,6,1,2,0,7,3
,65 to 74,104,0,101,0,0,1,2,0,4,0
,75 and over,45,0,44,0,0,1,0,0,1,0
S01005397,All people,546,3,490,4,22,12,12,3,14,6
,0 to 15,57,3,43,1,7,3,0,0,1,0
,16 to 19,15,0,13,0,0,2,0,0,1,1
,20 to 24,17,0,15,0,0,1,1,0,1,3
,25 to 34,33,0,25,3,1,2,2,0,1,1
,35 to 49,76,0,64,0,6,3,2,1,1,0
,50 to 64,144,0,134,0,7,1,2,0,3,0
,65 to 74,120,0,115,0,1,0,2,2,3,0
,75 and over,84,0,81,0,0,0,3,0,3,1
S01005398,All people,969,4,907,7,38,10,0,3,48,13
,0 to 15,158,4,144,0,8,2,0,0,6,0
,16 to 19,33,0,32,0,1,0,0,0,1,3
,20 to 24,32,0,27,1,1,2,0,1,6,3
,25 to 34,71,0,55,2,9,3,0,2,10,4
,35 to 49,200,0,188,0,11,1,0,0,10,1
,50 to 64,273,0,262,4,7,0,0,0,8,0
,65 to 74,116,0,113,0,1,2,0,0,3,0
,75 and over,86,0,86,0,0,0,0,0,4,2
S01005399,All people,983,12,901,7,46,8,5,4,54,10
,0 to 15,165,12,145,2,4,0,0,2,8,0
,16 to 19,38,0,34,0,4,0,0,0,1,1
,20 to 24,39,0,30,0,9,0,0,0,9,1
,25 to 34,82,0,69,1,9,3,0,0,13,4
,35 to 49,196,0,186,1,8,0,1,0,11,0
,50 to 64,179,0,169,0,5,3,0,2,5,4
,65 to 74,130,0,124,2,4,0,0,0,4,0
,75 and over,154,0,144,1,3,2,4,0,3,0
S01005400,All people,"1,078",12,929,27,84,16,2,8,77,13
,0 to 15,220,12,176,12,16,3,0,1,20,0
,16 to 19,51,0,44,1,2,2,1,1,5,2
,20 to 24,60,0,50,3,6,0,1,0,13,7
,25 to 34,121,0,93,8,15,4,0,1,14,1
,35 to 49,238,0,209,3,18,4,0,4,13,3
,50 to 64,205,0,196,0,8,0,0,1,7,0
,65 to 74,87,0,83,0,4,0,0,0,4,0
,75 and over,96,0,78,0,15,3,0,0,1,0
S01005401,All people,847,7,779,7,42,2,5,5,39,7
,0 to 15,113,7,96,0,10,0,0,0,6,2
,16 to 19,22,0,20,1,1,0,0,0,3,1
,20 to 24,23,0,17,1,4,1,0,0,7,1
,25 to 34,69,0,52,2,12,0,0,3,8,0
,35 to 49,140,0,125,0,9,0,5,1,9,2
,50 to 64,227,0,222,1,3,0,0,1,4,1
,65 to 74,120,0,117,1,2,0,0,0,0,0
,75 and over,133,0,130,1,1,1,0,0,2,0
S01005402,All people,"1,015",17,853,19,89,24,5,8,91,25
,0 to 15,144,17,108,3,16,0,0,0,23,3
,16 to 19,50,0,40,0,7,3,0,0,1,4
,20 to 24,70,0,41,4,15,4,2,4,9,4
,25 to 34,114,0,78,9,20,6,0,1,31,4
,35 to 49,222,0,195,1,19,6,1,0,16,2
,50 to 64,243,0,229,1,6,3,2,2,8,5
,65 to 74,96,0,91,1,3,0,0,1,1,1
,75 and over,76,0,71,0,3,2,0,0,2,2
S01005403,All people,892,11,804,6,56,13,1,1,44,16
,0 to 15,161,11,137,0,11,2,0,0,4,1
,16 to 19,38,0,32,1,4,1,0,0,4,6
,20 to 24,50,0,37,0,9,4,0,0,4,3
,25 to 34,94,0,74,2,17,1,0,0,12,4
,35 to 49,220,0,205,1,10,3,0,1,12,2
,50 to 64,193,0,185,2,3,2,1,0,3,0
,65 to 74,78,0,78,0,0,0,0,0,2,0
,75 and over,58,0,56,0,2,0,0,0,3,0
S01005404,All people,985,8,864,5,63,11,31,3,64,41
,0 to 15,158,8,130,3,14,0,3,0,11,1
,16 to 19,29,0,26,0,3,0,0,0,0,6
,20 to 24,35,0,27,0,4,1,3,0,9,3
,25 to 34,76,0,51,0,16,2,5,2,10,15
,35 to 49,198,0,166,2,15,4,11,0,20,10
,50 to 64,264,0,249,0,3,4,8,0,3,2
,65 to 74,138,0,131,0,6,0,0,1,7,2
,75 and over,87,0,84,0,2,0,1,0,4,2
S01005405,All people,564,4,500,7,28,7,14,4,27,4
,0 to 15,90,4,75,5,5,1,0,0,4,0
,16 to 19,23,0,21,0,2,0,0,0,1,1
,20 to 24,14,0,11,0,3,0,0,0,7,0
,25 to 34,44,0,29,2,7,1,3,2,3,0
,35 to 49,110,0,101,0,4,2,3,0,2,1
,50 to 64,128,0,117,0,5,2,4,0,6,0
,65 to 74,87,0,83,0,0,1,2,1,1,2
,75 and over,68,0,63,0,2,0,2,1,3,0
S01005406,All people,546,4,496,3,32,7,3,1,21,6
,0 to 15,86,4,70,0,11,1,0,0,3,0
,16 to 19,13,0,11,0,2,0,0,0,2,0
,20 to 24,17,0,14,0,2,1,0,0,5,3
,25 to 34,38,0,29,2,2,4,0,1,7,2
,35 to 49,98,0,90,0,8,0,0,0,1,0
,50 to 64,136,0,132,0,3,0,1,0,0,1
,65 to 74,81,0,75,0,3,1,2,0,0,0
,75 and over,77,0,75,1,1,0,0,0,3,0
S01005407,All people,"1,435",6,"1,291",15,69,28,19,7,82,23
,0 to 15,287,6,243,6,27,2,1,2,26,0
,16 to 19,39,0,35,0,2,1,1,0,6,5
,20 to 24,33,0,26,0,5,0,1,1,7,3
,25 to 34,110,0,89,2,11,7,1,0,8,5
,35 to 49,333,0,308,3,11,1,8,2,19,2
,50 to 64,329,0,304,3,9,7,6,0,14,6
,65 to 74,178,0,168,1,0,8,0,1,1,1
,75 and over,126,0,118,0,4,2,1,1,1,1
S01005408,All people,579,10,509,9,41,4,1,5,37,2
,0 to 15,96,10,75,3,8,0,0,0,8,1
,16 to 19,18,0,16,0,2,0,0,0,4,0
,20 to 24,35,0,20,1,12,1,0,1,2,1
,25 to 34,59,0,48,5,5,0,0,1,5,0
,35 to 49,134,0,125,0,7,1,1,0,10,0
,50 to 64,145,0,135,0,6,2,0,2,3,0
,65 to 74,63,0,61,0,1,0,0,1,3,0
,75 and over,29,0,29,0,0,0,0,0,2,0
S01005409,All people,700,2,663,5,25,1,4,0,29,11
,0 to 15,114,2,103,2,5,0,2,0,7,0
,16 to 19,31,0,30,0,1,0,0,0,0,5
,20 to 24,25,0,24,0,1,0,0,0,2,3
,25 to 34,52,0,42,2,8,0,0,0,4,1
,35 to 49,166,0,161,0,3,1,1,0,13,2
,50 to 64,162,0,157,0,4,0,1,0,2,0
,65 to 74,84,0,80,1,3,0,0,0,1,0
,75 and over,66,0,66,0,0,0,0,0,0,0
S01005410,All people,"1,016",16,920,1,54,11,12,2,47,14
,0 to 15,181,16,153,0,9,2,1,0,6,1
,16 to 19,30,0,30,0,0,0,0,0,2,8
,20 to 24,41,0,33,0,7,0,1,0,4,1
,25 to 34,94,0,65,0,16,8,5,0,9,1
,35 to 49,261,0,243,1,10,1,4,2,6,2
,50 to 64,221,0,212,0,9,0,0,0,11,1
,65 to 74,117,0,113,0,3,0,1,0,6,0
,75 and over,71,0,71,0,0,0,0,0,3,0
S01005411,All people,968,8,881,4,52,10,12,1,79,13
,0 to 15,145,8,123,0,12,0,2,0,14,0
,16 to 19,37,0,35,2,0,0,0,0,2,7
,20 to 24,30,0,20,0,5,3,2,0,11,5
,25 to 34,70,0,47,0,14,3,5,1,14,0
,35 to 49,203,0,189,1,11,2,0,0,15,0
,50 to 64,247,0,237,1,6,2,1,0,11,0
,65 to 74,118,0,115,0,3,0,0,0,5,0
,75 and over,118,0,115,0,1,0,2,0,7,1
S01005412,All people,999,6,901,2,58,26,2,4,83,24
,0 to 15,209,6,184,0,14,5,0,0,21,3
,16 to 19,41,0,31,0,5,4,0,1,3,11
,20 to 24,23,0,14,1,0,5,0,3,9,3
,25 to 34,58,0,48,0,6,4,0,0,9,4
,35 to 49,258,0,232,1,20,5,0,0,30,1
,50 to 64,191,0,179,0,8,2,2,0,5,2
,65 to 74,106,0,104,0,2,0,0,0,1,0
,75 and over,113,0,109,0,3,1,0,0,5,0
S01005413,All people,909,10,758,22,76,27,6,10,92,32
,0 to 15,94,10,71,4,8,0,0,1,18,6
,16 to 19,40,0,27,0,12,0,1,0,3,1
,20 to 24,79,0,40,6,15,16,0,2,11,13
,25 to 34,145,0,102,10,22,7,0,4,27,0
,35 to 49,146,0,132,2,8,0,3,1,17,7
,50 to 64,167,0,158,0,4,4,0,1,10,1
,65 to 74,114,0,109,0,4,0,1,0,4,0
,75 and over,124,0,119,0,3,0,1,1,2,4
S01005414,All people,"1,039",11,957,3,35,18,10,5,53,19
,0 to 15,204,11,185,0,4,4,0,0,11,0
,16 to 19,31,0,26,0,5,0,0,0,1,5
,20 to 24,30,0,20,1,3,4,1,1,7,3
,25 to 34,83,0,69,2,5,3,4,0,14,4
,35 to 49,213,0,198,0,7,4,1,3,10,2
,50 to 64,193,0,183,0,3,2,4,1,9,3
,65 to 74,122,0,121,0,1,0,0,0,1,2
,75 and over,163,0,155,0,7,1,0,0,0,0
S01005415,All people,990,7,912,1,43,10,16,1,55,13
,0 to 15,133,7,115,0,7,1,3,0,13,0
,16 to 19,42,0,39,0,2,0,1,0,2,7
,20 to 24,29,0,27,0,0,1,0,1,6,0
,25 to 34,51,0,45,0,4,0,2,0,16,0
,35 to 49,162,0,147,0,7,3,5,0,5,1
,50 to 64,243,0,233,0,6,2,2,0,5,1
,65 to 74,137,0,128,0,6,1,2,0,0,0
,75 and over,193,0,178,1,11,2,1,0,8,4
S01005416,All people,978,10,865,11,59,2,26,5,84,7
,0 to 15,146,10,122,2,5,0,6,1,30,2
,16 to 19,26,0,22,1,2,0,1,0,3,1
,20 to 24,53,0,40,0,7,2,4,0,10,0
,25 to 34,108,0,93,0,11,0,1,3,20,1
,35 to 49,164,0,152,3,4,0,5,0,16,2
,50 to 64,204,0,184,2,12,0,5,1,3,0
,65 to 74,99,0,94,0,3,0,2,0,2,0
,75 and over,178,0,158,3,15,0,2,0,0,1
S01005417,All people,"1,231",21,"1,058",13,86,29,15,9,44,14
,0 to 15,282,21,229,6,18,6,1,1,1,1
,16 to 19,61,0,55,0,6,0,0,0,4,7
,20 to 24,45,0,35,1,4,3,1,1,2,0
,25 to 34,160,0,118,1,25,12,3,1,18,4
,35 to 49,318,0,289,4,14,6,4,1,5,0
,50 to 64,212,0,197,1,6,0,4,4,4,1
,65 to 74,86,0,79,0,3,2,1,1,4,0
,75 and over,67,0,56,0,10,0,1,0,6,1
S01005418,All people,"1,127",7,944,16,81,34,22,23,37,22
,0 to 15,178,7,139,4,21,5,2,0,6,2
,16 to 19,42,0,25,0,1,2,0,14,0,4
,20 to 24,28,0,19,0,3,2,0,4,3,2
,25 to 34,89,0,64,0,12,7,5,1,7,7
,35 to 49,207,0,165,2,27,8,4,1,14,4
,50 to 64,288,0,254,10,10,5,6,3,3,1
,65 to 74,170,0,160,0,4,2,4,0,2,1
,75 and over,125,0,118,0,3,3,1,0,2,1
S01005419,All people,718,10,647,15,26,11,5,4,35,6
,0 to 15,111,10,89,6,3,1,2,0,5,0
,16 to 19,35,0,29,0,4,1,1,0,1,1
,20 to 24,30,0,23,2,3,1,0,1,5,3
,25 to 34,73,0,57,5,10,0,1,0,12,0
,35 to 49,128,0,118,2,5,2,1,0,4,0
,50 to 64,137,0,131,0,1,2,0,3,1,0
,65 to 74,100,0,99,0,0,1,0,0,2,2
,75 and over,104,0,101,0,0,3,0,0,5,0
S01005420,All people,768,3,735,0,21,2,5,2,16,8
,0 to 15,108,3,102,0,3,0,0,0,1,0
,16 to 19,26,0,25,0,0,0,1,0,0,6
,20 to 24,35,0,30,0,4,1,0,0,4,0
,25 to 34,48,0,40,0,6,1,1,0,2,2
,35 to 49,136,0,133,0,3,0,0,0,3,0
,50 to 64,172,0,170,0,0,0,0,2,3,0
,65 to 74,133,0,132,0,0,0,1,0,0,0
,75 and over,110,0,103,0,5,0,2,0,3,0
S01005421,All people,870,9,809,1,40,5,2,4,58,11
,0 to 15,166,9,145,0,12,0,0,0,18,1
,16 to 19,50,0,46,0,3,1,0,0,3,3
,20 to 24,38,0,34,1,0,1,1,1,4,2
,25 to 34,73,0,60,0,11,1,0,1,12,3
,35 to 49,223,0,207,0,13,2,0,1,18,2
,50 to 64,210,0,208,0,1,0,0,1,2,0
,65 to 74,73,0,72,0,0,0,1,0,0,0
,75 and over,37,0,37,0,0,0,0,0,1,0
S01005422,All people,946,7,746,7,62,77,19,28,121,42
,0 to 15,96,7,78,0,11,0,0,0,14,0
,16 to 19,117,0,44,2,8,45,12,6,29,23
,20 to 24,108,0,45,2,13,25,7,16,50,8
,25 to 34,61,0,44,0,7,5,0,5,15,3
,35 to 49,137,0,127,0,8,1,0,1,9,1
,50 to 64,168,0,160,0,8,0,0,0,0,3
,65 to 74,118,0,111,3,3,1,0,0,1,2
,75 and over,141,0,137,0,4,0,0,0,3,2
S01005423,All people,989,7,928,0,41,3,7,3,35,17
,0 to 15,190,7,178,0,3,0,2,0,7,3
,16 to 19,52,0,49,0,3,0,0,0,4,10
,20 to 24,46,0,38,0,4,0,2,2,6,3
,25 to 34,91,0,78,0,11,1,1,0,7,1
,35 to 49,241,0,230,0,9,0,2,0,7,0
,50 to 64,223,0,212,0,9,1,0,1,1,0
,65 to 74,92,0,89,0,2,1,0,0,3,0
,75 and over,54,0,54,0,0,0,0,0,0,0
S01005424,All people,874,11,735,5,87,20,7,9,65,15
,0 to 15,161,11,125,1,19,3,1,1,19,0
,16 to 19,57,0,50,0,7,0,0,0,7,5
,20 to 24,46,0,29,0,12,3,1,1,6,2
,25 to 34,67,0,44,2,11,8,1,1,14,2
,35 to 49,185,0,151,0,27,1,3,3,10,5
,50 to 64,209,0,194,2,7,4,0,2,6,1
,65 to 74,65,0,62,0,3,0,0,0,3,0
,75 and over,84,0,80,0,1,1,1,1,0,0
S01005425,All people,980,23,820,19,78,11,24,5,122,7
,0 to 15,216,23,157,5,13,6,12,0,33,0
,16 to 19,49,0,36,4,8,0,0,1,12,0
,20 to 24,62,0,48,2,12,0,0,0,11,1
,25 to 34,167,0,130,4,22,1,8,2,28,4
,35 to 49,202,0,176,2,19,2,3,0,30,2
,50 to 64,144,0,134,2,4,1,1,2,6,0
,65 to 74,74,0,73,0,0,1,0,0,2,0
